division,department,perspective,strategic_objective,division_objective,department_objective,unit_objective
Digital Banking Division,Card,Financial perspective,Ensure Sustainable Growth and Profitability,Utilization of budget as per approved limit,Ensure proper management of expenses,Proper management of controllable & other expenses as per the budget
Digital Banking Division,Card,Financial perspective,Ensure Sustainable Growth and Profitability,Generate commission income of card transaction (local and foreign),Develop proposal how to generate the incomes,Implement strategies and effective utilization of monitoring systems to achieve the income
Digital Banking Division,Card,Financial perspective,Ensure Resource Mobilization,Expand International Card Acquiring to earn FCY,"Initiate, validate and give direction for execution of different proposals and counter proposals for acquiring international cards",Prepare different proposals and counter proposals and train staffs for execution
Digital Banking Division,Card,Customer perspective,Enhance customer recruitment,Ensure the card production and delivery plan is fulfilled,Create conducive environment for proper production and delivery of cards,Ensure proper personalization of card information & delivery as per SDT
Digital Banking Division,Card,Customer perspective,Enhance customer recruitment,Ensure the card production and delivery plan is fulfilled,Create conducive environment for proper production and delivery of cards,Ensure technical input executed as per procedure
Digital Banking Division,Card,Customer perspective,Enhance digital penetration,_,"Devise different marketing and sales strategies, create conducive approach for partners",Implement the marketing and sales strategies
Digital Banking Division,Card,Customer perspective,Enhance digital penetration,Enhance the existing products related to card products,Validate different documents for product development/enhancement,Produce different documents
Digital Banking Division,Card,Customer perspective,Elevate customer experience,Ensure continuous improvement by selecting and handover to the right vendor,"Validate requests of partners related to cards, selection criteria and ensure the selected partner is to the expected level thereof",Set partner selection criteria in consultation with different stakeholders
