division,department,perspective,strategic_objective,division_objective,department_objective,unit_objective
Digital Banking Division,Digital Banking Reconciliation,Financial perspective,Ensure Sustainable Profitability,Manage expenses,Effective utilization of expenses,_
Digital Banking Division,Digital Banking Reconciliation,Financial perspective,Ensure Financial Soundness,Suspense Management,Effective utilization of expenses,_
Digital Banking Division,Digital Banking Reconciliation,Customer perspective,Elevate customer experience,Expand and enhance digital service reconciliation and dispute management,Enhanced Customer Experience,_
Digital Banking Division,Digital Banking Reconciliation,Internal business process perspective,Improve Process Efficiency & Effectiveness,Ensure continuous improvement of Process Efficiency & Effectiveness,Present different procedures and guideline for approval,_
Digital Banking Division,Digital Banking Reconciliation,Internal business process perspective,_,_,_,_
Digital Banking Division,Digital Banking Reconciliation,Learning and growth perspective,Improve employee satisfaction and engagement,Improve employee engagement,_,_
